@relation german
@attribute StatusAccount {A11, A12, A14, A13}
@attribute DurationMonth integer [4,  72]
@attribute CreditHistory {A34, A32, A33, A30, A31}
@attribute Purpose {A43, A46, A42, A40, A41, A49, A44, A45, A410, A48}
@attribute CreditAmount integer [250,  18424]
@attribute SavingsAccount {A65, A61, A63, A64, A62}
@attribute EmploymentSince {A75, A73, A74, A71, A72}
@attribute InstallmentRate integer [1,  4]
@attribute StatusAndSex {A93, A92, A91, A94}
@attribute Guarantors {A101, A103, A102}
@attribute ResidenceSince integer [1,  4]
@attribute Property {A121, A122, A124, A123}
@attribute Age integer [19,  75]
@attribute InstallmentPlans {A143, A141, A142}
@attribute Housing {A152, A153, A151}
@attribute NCredits integer [1,  4]
@attribute Job {A173, A172, A174, A171}
@attribute NPeopleMain integer [1,  2]
@attribute Telephone {A192, A191}
@attribute ForeignWorker {A201, A202}
@attribute Customer {1,2}
@data
A12, 24, A32, A41, 12579, A61, A75, 4, A92, A101, 2, A124, 44, A143, A153, 1, A174, 1, A192, A201, 2
A12, 12, A34, A41, 1804, A62, A72, 3, A93, A101, 4, A122, 44, A143, A152, 1, A173, 1, A191, A201, 1
A12, 18, A32, A40, 5866, A62, A73, 2, A93, A101, 2, A123, 30, A143, A152, 2, A173, 1, A192, A201, 1
A14, 30, A32, A43, 2333, A63, A75, 4, A93, A101, 2, A123, 30, A141, A152, 1, A174, 1, A191, A201, 1
A11, 48, A34, A41, 6143, A61, A75, 4, A92, A101, 4, A124, 58, A142, A153, 2, A172, 1, A191, A201, 2
A14, 36, A32, A43, 2299, A63, A75, 4, A93, A101, 4, A123, 39, A143, A152, 1, A173, 1, A191, A201, 1
A12, 24, A33, A42, 2333, A65, A72, 4, A93, A101, 2, A122, 29, A141, A152, 1, A172, 1, A191, A201, 1
A12, 27, A33, A41, 5965, A61, A75, 1, A93, A101, 2, A123, 30, A143, A152, 2, A174, 1, A192, A201, 1
A14, 12, A32, A43, 1262, A61, A73, 3, A93, A101, 2, A123, 25, A143, A152, 1, A173, 1, A191, A201, 1
A14, 6, A31, A40, 783, A65, A73, 1, A93, A103, 2, A121, 26, A142, A152, 1, A172, 2, A191, A201, 1
A12, 11, A33, A43, 4771, A61, A74, 2, A93, A101, 4, A122, 51, A143, A152, 1, A173, 1, A191, A201, 1
A12, 30, A32, A42, 3832, A61, A72, 2, A94, A101, 1, A122, 22, A143, A152, 1, A173, 1, A191, A201, 1
A12, 12, A32, A40, 1318, A64, A75, 4, A93, A101, 4, A121, 54, A143, A152, 1, A173, 1, A192, A201, 1
A14, 12, A34, A46, 2012, A65, A74, 4, A92, A101, 2, A123, 61, A143, A152, 1, A173, 1, A191, A201, 1
A12, 15, A34, A43, 2728, A65, A74, 4, A93, A103, 2, A121, 35, A141, A152, 3, A173, 1, A192, A201, 1
A11, 18, A32, A42, 2462, A61, A73, 2, A93, A101, 2, A123, 22, A143, A152, 1, A173, 1, A191, A201, 2
A14, 12, A34, A40, 682, A62, A74, 4, A92, A101, 3, A123, 51, A143, A152, 2, A173, 1, A192, A201, 1
A14, 10, A32, A43, 1924, A61, A73, 1, A93, A101, 4, A122, 38, A143, A152, 1, A173, 1, A192, A202, 1
A14, 6, A34, A43, 1898, A65, A73, 1, A93, A101, 2, A121, 34, A143, A152, 2, A172, 2, A191, A201, 1
A12, 10, A32, A40, 7308, A61, A71, 2, A93, A101, 4, A124, 70, A141, A153, 1, A174, 1, A192, A201, 1
A11, 18, A32, A42, 1131, A61, A71, 4, A92, A101, 2, A123, 33, A143, A152, 1, A173, 1, A191, A201, 2
A14, 24, A32, A49, 4591, A64, A73, 2, A93, A101, 3, A122, 54, A143, A152, 3, A174, 1, A192, A201, 2
A12, 45, A32, A43, 3031, A62, A73, 4, A93, A103, 4, A122, 21, A143, A151, 1, A173, 1, A191, A201, 2
A11, 12, A32, A46, 1200, A65, A73, 4, A92, A101, 4, A122, 23, A141, A151, 1, A173, 1, A192, A201, 1
A14, 36, A30, A45, 2613, A61, A73, 4, A93, A101, 2, A123, 27, A143, A152, 2, A173, 1, A191, A201, 1
