@relation crx
@attribute A1 {b, a}
@attribute A2 real [16.0,  8025.0]
@attribute A3 real [0.0,  26335.0]
@attribute A4 {u, y, l}
@attribute A5 {g, p, gg}
@attribute A6 {w, q, m, r, cc, k, c, d, x, i, e, aa, ff, j}
@attribute A7 {v, h, bb, ff, j, z, o, dd, n}
@attribute A8 real [0.0,  14415.0]
@attribute A9 {t, f}
@attribute A10 {t, f}
@attribute A11 integer [0,  67]
@attribute A12 {f, t}
@attribute A13 {g, s, p}
@attribute A14 integer [0,  2000]
@attribute A15 integer [0,  100000]
@attribute Class {positive, negative}
@data
a,2292.0,11585.0,u,g,cc,v,4.0,t,f,0,f,g,80,1349,positive
a,4775.0,8.0,u,g,c,v,7875.0,t,t,6,t,g,0,1260,positive
a,1583.0,585.0,u,g,c,h,15.0,t,t,2,f,g,100,0,positive
b,5742.0,85.0,u,g,e,h,7.0,t,t,3,f,g,0,0,positive
a,3675.0,5125.0,u,g,e,v,5.0,t,f,0,t,g,0,4000,positive
a,2258.0,1075.0,u,g,q,v,415.0,t,t,5,t,g,0,560,positive
b,2967.0,1415.0,u,g,w,h,75.0,t,t,1,f,g,240,100,positive
b,5642.0,28.0,y,p,c,v,285.0,t,t,40,f,g,0,15,positive
a,41.0,204.0,y,p,q,h,125.0,t,t,23,t,g,455,1236,positive
b,3742.0,204.0,u,g,w,v,4.0,t,f,0,t,g,400,5800,positive
b,2067.0,529.0,u,g,q,v,375.0,t,t,1,f,g,160,0,negative
a,1917.0,585.0,y,p,aa,v,585.0,t,f,0,t,g,160,0,negative
a,49.0,15.0,u,g,j,j,0.0,t,f,0,t,g,100,27,negative
b,2875.0,1165.0,u,g,k,v,5.0,t,f,0,f,s,280,0,negative
a,245.0,104.0,y,p,ff,ff,5.0,t,t,3,f,g,180,147,negative
b,5783.0,704.0,u,g,m,v,14.0,t,t,6,t,g,360,1332,positive
a,235.0,9.0,u,g,q,v,85.0,t,t,5,t,g,120,0,positive
a,565.0,16.0,u,g,j,ff,0.0,t,t,15,f,g,0,247,positive
a,305.0,65.0,u,g,c,bb,4.0,t,t,7,t,g,0,3065,positive
a,5833.0,10.0,u,g,q,v,4.0,t,t,14,f,g,0,1602,positive
b,375.0,1125.0,y,p,d,v,15.0,f,f,0,t,g,431,0,positive
b,56.0,125.0,u,g,k,h,8.0,t,f,0,t,g,24,2028,positive
b,25.0,125.0,u,g,aa,v,3.0,t,f,0,t,s,20,0,positive
a,2408.0,5.0,u,g,q,h,125.0,t,t,1,f,g,0,678,positive
b,395.0,425.0,u,g,c,bb,65.0,t,t,16,f,g,117,1210,positive
a,5008.0,1254.0,u,g,aa,v,229.0,t,t,3,t,g,156,0,positive
b,335.0,175.0,u,g,x,h,45.0,t,t,4,t,g,253,857,positive
