@relation german
@attribute StatusAccount {A11, A12, A14, A13}
@attribute DurationMonth integer [4,  72]
@attribute CreditHistory {A34, A32, A33, A30, A31}
@attribute Purpose {A43, A46, A42, A40, A41, A49, A44, A45, A410, A48}
@attribute CreditAmount integer [250,  18424]
@attribute SavingsAccount {A65, A61, A63, A64, A62}
@attribute EmploymentSince {A75, A73, A74, A71, A72}
@attribute InstallmentRate integer [1,  4]
@attribute StatusAndSex {A93, A92, A91, A94}
@attribute Guarantors {A101, A103, A102}
@attribute ResidenceSince integer [1,  4]
@attribute Property {A121, A122, A124, A123}
@attribute Age integer [19,  75]
@attribute InstallmentPlans {A143, A141, A142}
@attribute Housing {A152, A153, A151}
@attribute NCredits integer [1,  4]
@attribute Job {A173, A172, A174, A171}
@attribute NPeopleMain integer [1,  2]
@attribute Telephone {A192, A191}
@attribute ForeignWorker {A201, A202}
@attribute Customer {1,2}
@data
A11, 10, A34, A40, 2241, A61, A72, 1, A93, A101, 3, A121, 48, A143, A151, 2, A172, 2, A191, A202, 1
A12, 7, A32, A43, 2415, A61, A73, 3, A93, A103, 2, A121, 34, A143, A152, 1, A173, 1, A191, A201, 1
A12, 45, A34, A43, 4746, A61, A72, 4, A93, A101, 2, A122, 25, A143, A152, 2, A172, 1, A191, A201, 2
A14, 7, A34, A43, 730, A65, A75, 4, A93, A101, 2, A122, 46, A143, A151, 2, A172, 1, A192, A201, 1
A12, 18, A34, A42, 1295, A61, A72, 4, A92, A101, 1, A122, 27, A143, A152, 2, A173, 1, A191, A201, 1
A11, 12, A34, A41, 1409, A61, A75, 4, A93, A101, 3, A121, 54, A143, A152, 1, A173, 1, A191, A201, 1
A14, 6, A33, A43, 932, A61, A73, 3, A92, A101, 2, A121, 24, A143, A152, 1, A173, 1, A191, A201, 1
A14, 12, A32, A41, 2445, A65, A72, 2, A94, A101, 4, A123, 26, A143, A151, 1, A173, 1, A192, A201, 1
A11, 42, A32, A43, 7174, A65, A74, 4, A92, A101, 3, A123, 30, A143, A152, 1, A174, 1, A192, A201, 2
A11, 12, A34, A40, 2121, A61, A73, 4, A93, A101, 2, A122, 30, A143, A152, 2, A173, 1, A191, A201, 1
A12, 48, A32, A40, 8487, A65, A74, 1, A92, A101, 2, A123, 24, A143, A152, 1, A173, 1, A191, A201, 1
A12, 48, A31, A49, 3566, A62, A74, 4, A93, A101, 2, A123, 30, A143, A152, 1, A173, 1, A191, A201, 1
A11, 21, A33, A46, 3414, A61, A72, 2, A93, A101, 1, A122, 26, A143, A152, 2, A173, 1, A191, A201, 2
A14, 6, A32, A43, 2108, A61, A74, 2, A94, A101, 2, A121, 29, A143, A151, 1, A173, 1, A191, A201, 1
A12, 24, A32, A41, 2760, A65, A75, 4, A93, A101, 4, A124, 36, A141, A153, 1, A173, 1, A192, A201, 1
A11, 12, A32, A40, 1168, A61, A73, 4, A94, A101, 3, A121, 27, A143, A152, 1, A172, 1, A191, A201, 1
A11, 30, A34, A41, 10623, A61, A75, 3, A93, A101, 4, A124, 38, A143, A153, 3, A174, 2, A192, A201, 1
A14, 36, A32, A43, 3835, A65, A75, 2, A92, A101, 4, A121, 45, A143, A152, 1, A172, 1, A192, A201, 1
A14, 36, A34, A43, 3342, A65, A75, 4, A93, A101, 2, A123, 51, A143, A152, 1, A173, 1, A192, A201, 1
A12, 6, A34, A48, 932, A65, A74, 1, A92, A101, 3, A122, 39, A143, A152, 2, A172, 1, A191, A201, 1
